,Date,JPYKRW
462,2018-01-18,962.9
463,2018-01-17,966.46
464,2018-01-16,962.05
465,2018-01-15,962.55
466,2018-01-12,957.99
467,2018-01-11,959.48
468,2018-01-10,960.55
469,2018-01-09,950.14
470,2018-01-08,944.84
471,2018-01-05,940.12
472,2018-01-04,945.0
473,2018-01-03,950.85
474,2018-01-02,948.07
475,2017-12-29,949.23
476,2017-12-28,949.09
477,2017-12-27,950.28
478,2017-12-26,949.69
479,2017-12-22,952.51
480,2017-12-21,953.19
481,2017-12-20,957.28
482,2017-12-19,962.95
483,2017-12-18,967.68
484,2017-12-15,971.7
485,2017-12-14,966.41
486,2017-12-13,963.66
487,2017-12-12,962.01
488,2017-12-11,963.43
489,2017-12-08,964.8
490,2017-12-07,970.73
491,2017-12-06,974.6
492,2017-12-05,966.3
493,2017-12-04,963.22
494,2017-12-01,967.3
495,2017-11-30,969.31
496,2017-11-29,965.42
497,2017-11-28,972.19
498,2017-11-27,980.25
499,2017-11-24,975.62
500,2017-11-23,976.75
501,2017-11-22,973.86
502,2017-11-21,971.77
503,2017-11-20,980.47
504,2017-11-17,976.51
505,2017-11-16,971.19
506,2017-11-15,982.75
507,2017-11-14,983.85
508,2017-11-13,989.36
509,2017-11-10,987.52
510,2017-11-09,987.51
511,2017-11-08,983.29
512,2017-11-07,975.26
513,2017-11-06,976.39
514,2017-11-03,978.38
515,2017-11-02,975.77
516,2017-11-01,978.2
517,2017-10-31,987.17
518,2017-10-30,990.45
519,2017-10-27,989.72
520,2017-10-26,990.1
521,2017-10-25,988.12
522,2017-10-24,992.32
523,2017-10-23,994.07
524,2017-10-20,999.69
525,2017-10-19,1007.16
526,2017-10-18,1003.32
527,2017-10-17,1007.97
528,2017-10-16,1009.75
529,2017-10-13,1008.09
530,2017-10-12,1008.67
531,2017-10-11,1011.27
532,2017-10-10,1009.47
533,2017-09-29,1021.15
534,2017-09-28,1018.5
535,2017-09-27,1011.36
536,2017-09-26,1016.28
537,2017-09-25,1010.83
538,2017-09-22,1012.18
539,2017-09-21,1008.94
540,2017-09-20,1014.87
541,2017-09-19,1015.48
542,2017-09-18,1012.83
543,2017-09-15,1022.85
544,2017-09-14,1027.64
545,2017-09-13,1024.93
546,2017-09-12,1028.44
547,2017-09-11,1043.63
