,Date,EURKRW
503,2017-11-20,1295.43
504,2017-11-17,1296.81
505,2017-11-16,1292.97
506,2017-11-15,1311.21
507,2017-11-14,1311.36
508,2017-11-13,1306.64
509,2017-11-10,1304.5
510,2017-11-09,1301.56
511,2017-11-08,1292.69
512,2017-11-07,1287.82
513,2017-11-06,1291.37
514,2017-11-03,1299.67
515,2017-11-02,1298.12
516,2017-11-01,1297.53
517,2017-10-31,1302.31
518,2017-10-30,1308.54
519,2017-10-27,1311.34
520,2017-10-26,1324.94
521,2017-10-25,1327.86
522,2017-10-24,1328.94
523,2017-10-23,1327.4
524,2017-10-20,1336.8
525,2017-10-19,1340.45
526,2017-10-18,1332.39
527,2017-10-17,1331.82
528,2017-10-16,1333.01
529,2017-10-13,1337.44
530,2017-10-12,1343.28
531,2017-10-11,1341.29
532,2017-10-10,1337.82
533,2017-09-29,1356.02
534,2017-09-28,1351.66
535,2017-09-27,1341.81
536,2017-09-26,1342.66
537,2017-09-25,1345.97
538,2017-09-22,1357.26
539,2017-09-21,1351.44
540,2017-09-20,1355.74
541,2017-09-19,1355.48
542,2017-09-18,1349.86
543,2017-09-15,1355.94
544,2017-09-14,1350.53
545,2017-09-13,1351.27
546,2017-09-12,1348.15
547,2017-09-11,1360.35
548,2017-09-08,1361.84
549,2017-09-07,1359.54
550,2017-09-06,1353.15
551,2017-09-05,1345.89
552,2017-09-04,1345.52
553,2017-09-01,1333.84
554,2017-08-31,1334.82
555,2017-08-30,1342.78
556,2017-08-29,1356.89
557,2017-08-28,1337.97
558,2017-08-25,1330.54
559,2017-08-24,1330.81
560,2017-08-23,1335.65
561,2017-08-22,1334.29
562,2017-08-21,1342.22
563,2017-08-18,1341.21
564,2017-08-17,1332.59
565,2017-08-16,1334.48
566,2017-08-14,1346.11
567,2017-08-11,1353.47
568,2017-08-10,1339.85
569,2017-08-09,1338.34
570,2017-08-08,1330.23
571,2017-08-07,1332.04
572,2017-08-04,1332.73
573,2017-08-03,1339.42
574,2017-08-02,1329.78
575,2017-08-01,1326.21
576,2017-07-31,1314.63
577,2017-07-28,1315.82
578,2017-07-27,1305.18
579,2017-07-26,1304.02
580,2017-07-25,1305.77
581,2017-07-24,1299.2
582,2017-07-21,1302.68
583,2017-07-20,1295.89
584,2017-07-19,1294.69
585,2017-07-18,1298.46
586,2017-07-17,1293.93
587,2017-07-14,1298.93
588,2017-07-13,1299.37
589,2017-07-12,1310.91
590,2017-07-11,1313.0
591,2017-07-10,1310.59
592,2017-07-07,1316.07
593,2017-07-06,1318.22
594,2017-07-05,1307.12
595,2017-07-04,1305.52
596,2017-07-03,1306.87
597,2017-06-30,1305.24
598,2017-06-29,1304.16
599,2017-06-28,1295.52
600,2017-06-27,1283.49
601,2017-06-26,1271.44
602,2017-06-23,1272.73
603,2017-06-22,1277.02
604,2017-06-21,1272.93
605,2017-06-20,1271.5
606,2017-06-19,1270.24
607,2017-06-16,1267.7
608,2017-06-15,1260.53
609,2017-06-14,1264.89
610,2017-06-13,1264.77
611,2017-06-12,1270.39
612,2017-06-09,1256.34
613,2017-06-08,1260.62
614,2017-06-07,1262.98
615,2017-06-05,1259.05
616,2017-06-02,1265.06
617,2017-06-01,1258.15
618,2017-05-31,1250.32
619,2017-05-30,1257.19
620,2017-05-29,1255.85
621,2017-05-26,1251.15
622,2017-05-25,1255.52
623,2017-05-24,1257.25
624,2017-05-23,1262.48
625,2017-05-22,1249.87
626,2017-05-19,1255.91
627,2017-05-18,1259.75
628,2017-05-17,1243.42
629,2017-05-16,1235.47
630,2017-05-15,1231.34
631,2017-05-12,1228.8
632,2017-05-11,1226.08
633,2017-05-10,1235.85
634,2017-05-08,1239.85
635,2017-05-04,1243.05
636,2017-05-02,1233.64
637,2017-04-28,1244.57
638,2017-04-27,1235.44
639,2017-04-26,1231.92
640,2017-04-25,1231.28
641,2017-04-24,1228.11
642,2017-04-21,1215.97
643,2017-04-20,1222.95
644,2017-04-19,1223.19
645,2017-04-18,1218.78
646,2017-04-17,1211.8
647,2017-04-14,1213.89
648,2017-04-13,1202.11
649,2017-04-12,1208.46
650,2017-04-11,1215.43
651,2017-04-10,1209.07
652,2017-04-07,1206.89
653,2017-04-06,1206.38
654,2017-04-05,1203.1
655,2017-04-04,1197.26
656,2017-04-03,1191.56
657,2017-03-31,1194.28
658,2017-03-30,1199.45
659,2017-03-29,1197.57
660,2017-03-28,1208.76
661,2017-03-27,1208.1
662,2017-03-24,1212.92
663,2017-03-23,1209.71
664,2017-03-22,1209.56
665,2017-03-21,1208.78
666,2017-03-20,1202.35
667,2017-03-17,1214.13
668,2017-03-16,1212.83
669,2017-03-15,1218.17
670,2017-03-14,1222.81
671,2017-03-13,1224.33
672,2017-03-10,1226.04
673,2017-03-09,1225.54
674,2017-03-08,1216.52
675,2017-03-07,1215.37
676,2017-03-06,1223.2
677,2017-03-03,1221.5
678,2017-03-02,1203.9
679,2017-02-28,1196.39
680,2017-02-27,1200.58
681,2017-02-24,1199.88
682,2017-02-23,1200.6
683,2017-02-22,1201.84
684,2017-02-21,1208.48
685,2017-02-20,1218.07
686,2017-02-17,1224.58
687,2017-02-16,1213.4
688,2017-02-15,1204.04
689,2017-02-14,1208.95
690,2017-02-13,1223.21
691,2017-02-10,1222.28
692,2017-02-09,1223.79
693,2017-02-08,1220.49
694,2017-02-07,1224.51
695,2017-02-06,1221.24
696,2017-02-03,1232.49
697,2017-02-02,1235.67
698,2017-02-01,1249.77
699,2017-01-31,1249.15
700,2017-01-26,1249.04
701,2017-01-25,1252.93
702,2017-01-24,1253.46
703,2017-01-23,1255.8
704,2017-01-20,1249.85
705,2017-01-19,1256.57
706,2017-01-18,1249.4
707,2017-01-17,1252.43
708,2017-01-16,1254.33
709,2017-01-13,1252.32
710,2017-01-12,1259.23
711,2017-01-11,1260.57
712,2017-01-10,1268.81
713,2017-01-09,1267.5
714,2017-01-06,1262.85
715,2017-01-05,1250.75
716,2017-01-04,1255.57
717,2017-01-03,1254.07
718,2017-01-02,1266.51
719,2016-12-30,1270.19
720,2016-12-29,1265.42
721,2016-12-28,1261.06
722,2016-12-27,1260.17
723,2016-12-26,1255.33
724,2016-12-23,1259.47
725,2016-12-22,1258.46
726,2016-12-21,1245.89
727,2016-12-20,1238.4
728,2016-12-19,1240.66
729,2016-12-16,1238.69
730,2016-12-15,1234.36
731,2016-12-14,1244.45
732,2016-12-13,1238.36
733,2016-12-12,1239.03
734,2016-12-09,1238.39
735,2016-12-08,1249.79
736,2016-12-07,1248.65
737,2016-12-06,1257.07
738,2016-12-05,1248.49
739,2016-12-02,1247.13
740,2016-12-01,1243.66
741,2016-11-30,1247.54
742,2016-11-29,1241.92
743,2016-11-28,1244.38
744,2016-11-25,1246.68
745,2016-11-24,1246.84
746,2016-11-23,1248.5
747,2016-11-22,1248.62
748,2016-11-21,1253.57
749,2016-11-18,1250.86
750,2016-11-17,1260.44
751,2016-11-16,1256.24
752,2016-11-15,1257.82
753,2016-11-14,1264.34
754,2016-11-11,1268.7
755,2016-11-10,1262.44
756,2016-11-09,1275.05
757,2016-11-08,1255.02
758,2016-11-07,1266.24
759,2016-11-04,1271.24
760,2016-11-03,1265.32
